¿Qué acción del apóstol Pedro en Antioquía motivó la confrontación directa de Pablo?,Pedro se retrajo y se apartó de los gentiles por temor a la presión de los de la circuncisión.
¿Quiénes eran 'los de la circuncisión' según el contexto de la carta a los Gálatas?,Un grupo de creyentes judíos que exigían que los gentiles se circuncidaran para ser considerados limpios y aceptados.
"En el contexto de la lección, ¿qué es la 'doctrina de separación'?",Una enseñanza de los fariseos (no de la Torá) que prohibía el contacto social y el comer en la misma mesa con gentiles.
Definición: Judaizar (según el contexto de Pablo en Gálatas).,Validar la doctrina de separación farisea y obligar a los gentiles a someterse a la circuncisión de conversión.
¿En qué se diferencia la circuncisión de la Torá de la 'circuncisión de conversión' mencionada en la lección?,"La de la Torá es una señal del pacto o mandamiento del octavo día, mientras que la de conversión es un rito de iniciación inventado por hombres."
¿Por qué los fariseos consideraban que el contacto con gentiles provocaba impureza ritual?,"Basaban su doctrina en que los gentiles eran impuros por su origen, comparándolos incluso con animales inmundos."
¿Qué documentos del judaísmo rabínico preservan las tradiciones de separación de los fariseos del primer siglo?,La Mishná y el Talmud.
¿Qué revela el pasaje de la mujer samaritana (Juan 4:9) sobre la relación entre judíos y samaritanos?,Que los judíos y samaritanos no se trataban entre sí debido a leyes de separación impuestas por el liderazgo religioso.
¿Qué mensaje central dio el Eterno a Pedro en la visión del lienzo con animales inmundos (Hechos 10)?,"Que a ningún hombre debe llamársele común o inmundo, confrontando la ideología de separación."
¿La Torá prohíbe explícitamente que un judío se junte o se acerque a un extranjero?,"No; según Pedro en Hechos 10:28, esa prohibición era una costumbre judía basada en tradiciones, no en la ley escrita."
"En Hechos 11:2-3, ¿cuál fue la crítica específica de los de la circuncisión contra Pedro?",Le reclamaron haber entrado en casa de hombres incircuncisos y haber comido con ellos.
¿Qué enseñaban los de Judea en Hechos 15:1 sobre la salvación de los gentiles?,"Que si los gentiles no se circuncidaban conforme al rito de Moisés, no podían ser salvos."
¿Cuál es el orden bíblico de restauración para un extranjero según Deuteronomio 30?,"Arrepentimiento del paganismo, voluntad de obedecer al Eterno y circuncisión del corazón por parte de Dios."
"Según el Talmud (Sanedrín 59a), ¿qué castigo se proponía para un gentil que estudiara la Torá sin circuncidarse?",Se consideraba un pecado comparable al adulterio y sujeto a la pena de muerte.
¿Qué profecía de Isaías 56 contradice la prohibición farisea de que los extranjeros guarden el Shabat?,Isaías 56:6-7 afirma que Dios llevará a su santo monte a los extranjeros que guarden el Shabat y abracen su pacto.
¿Qué instruyó Yeshua en Mateo 23:2-3 respecto a la 'Cátedra de Moisés'?,"Que debían guardar y hacer lo que se enseñaba desde allí (la Torá), pero no actuar conforme a las obras de los fariseos."
¿Cuál era el propósito de los cuatro mandamientos iniciales dados a los gentiles en Hechos 15?,Establecer un código básico de santidad para que pudieran ser introducidos gradualmente al estudio de la Torá cada Shabat.
"En Gálatas 5:16, ¿qué representa la lucha entre 'la carne' y 'el Espíritu'?",Es la confrontación entre la voluntad del hombre y la voluntad del Eterno revelada en la Torá.
¿Qué es 'andar en el Espíritu' según la definición bíblica de Ezequiel 36:27?,"Es vivir en obediencia a los estatutos y preceptos del Eterno, impulsados por Su fuerza activa."
"En el sistema religioso moderno, ¿qué manifestación emocional se confunde erróneamente con 'andar en el Espíritu'?","Estados de trance, caer al suelo, llorar o hablar en lenguas incomprensibles sin orden ni interpretación."
"Según Juan 16:13, ¿cuál es el propósito del Espíritu de Verdad respecto al camino del creyente?","Guiar al creyente a toda la verdad, mostrándole el camino (odegueo) de la palabra de Dios."
¿Cómo define el Salmo 119:142 la 'Verdad'?,Afirma que la Torá (la Ley) es la verdad.
Concepto: Anomía.,Término griego que significa 'sin ley' o 'sin Torá'; se refiere a vivir en transgresión de los mandamientos.
"¿Qué palabra hebrea significa 'andar, caminar o modo de actuar' y se relaciona con el estilo de vida en la Torá?",Alaj (o Halajá).
"Según Romanos 8:7, ¿cuál es la característica principal de los 'designios de la carne'?",Son enemistad contra Dios porque no se sujetan a la Torá de Dios.
¿Qué le dirá Yeshua a los que hicieron milagros en Su nombre pero vivieron en 'anomía' (Mateo 7:23)?,"'Nunca os conocí; apartaos de mí, hacedores de maldad (anomía)'."
"Según 1 Juan 2:4, ¿qué calificativo recibe quien dice conocer al Mesías pero no guarda Sus mandamientos?",Es llamado mentiroso y se afirma que la verdad no está en él.
"En las cartas de Pablo, ¿qué significa la expresión 'estar bajo la ley'?",Estar bajo la condenación o el juicio que la Torá establece para los transgresores.
¿Qué son las 'obras de la carne' mencionadas en Gálatas 5:19-21?,"Son manifestaciones de vivir en anomía, es decir, transgresiones específicas de los mandamientos de la Torá."
La 'idolatría' y la 'hechicería' son consideradas obras de la carne porque transgreden mandamientos de _____.,La Torá (como Éxodo 20:3 y Deuteronomio 18:10).
¿Qué advertencia final da Pablo a quienes practican las obras de la carne?,Advierte que no heredarán el reino de Dios.
"Según Levítico 18:29, ¿qué significa que una persona sea 'cortada de entre su pueblo' (Karat)?",Es una pena de muerte espiritual y física por cometer abominaciones o transgresiones graves.
"El 'fruto del Espíritu' en Gálatas 5:22-23 no se refiere a sentimientos, sino a _____ manifestados en la conducta.",Virtudes o comportamientos basados en la obediencia a la Torá.
¿Cómo se define el 'amor' como fruto del Espíritu desde la Torá (Levítico 19:18)?,Como el mandamiento de amar al prójimo como a uno mismo a través de acciones concretas de justicia.
"Según Deuteronomio 28:47, ¿por qué el 'gozo' es un mandamiento y no solo una emoción?",Porque el Eterno demanda que se le sirva con alegría y gozo de corazón por Sus bendiciones.
"En el pensamiento hebreo, ¿qué es la 'paz' (Shalom)?",El resultado de vivir en armonía y obediencia a los mandamientos del Eterno.
¿Qué significa el término hebreo 'Ereg Apayim' relacionado con la virtud de la paciencia?,"Significa 'lento para la ira', una cualidad del carácter del Eterno revelada en la Torá."
La 'benignidad' (Jesed) se manifiesta en la Torá a través de mandamientos que exigen compasión hacia _____.,"Los necesitados y los vulnerables (extranjeros, huérfanos y viudas)."
¿Cómo se define la 'bondad' según Deuteronomio 6:18?,Hacer lo recto y lo bueno ante los ojos de Adonay.
"En el fruto del Espíritu, ¿qué implica la virtud de la 'fe' (Emuná)?","Implica fidelidad, firmeza, lealtad y constancia en el caminar con Dios."
La 'mansedumbre' (Anaf) se ejemplifica en la Torá a través de Moisés y se define como _____.,"Humildad y tener un corazón enseñable, dispuesto a ser corregido por Dios."
¿Qué implica 'crucificar la carne con sus pasiones y deseos' según Gálatas 5:24?,Renunciar a la voluntad humana y al estilo de vida en desobediencia (anomía) para seguir al Mesías.
¿Cuál es la diferencia entre 'justificación' y 'salvación' según el comentario de la lección?,La justificación es el perdón inicial por fe; la salvación es la recompensa eterna tras una carrera de santidad.
¿Por qué el expositor afirma que el Shabat sigue vigente para los creyentes en el Mesías?,Porque Yeshua nunca lo abolió y el Espíritu nos guía a guardar los mandamientos de la Torá.
"Según el Salmo 19:7, la Torá de Adonay es perfecta y tiene la función de _____.",Convertir el alma.
¿Qué argumento utiliza el judaísmo rabínico para justificar la necesidad del Talmud?,Afirman que la Torá escrita tiene 'huecos' que deben ser llenados por la tradición oral.
¿Por qué se considera que las prácticas de la cábala son contrarias a la Torá?,"Porque a menudo involucran superstición, esoterismo y la búsqueda de conocimientos ocultos prohibidos en Deuteronomio 18:10."
"Según Deuteronomio 29:29, ¿qué cosas pertenecen a los hombres y sus hijos para siempre?",Las cosas reveladas (la Torá y los mandamientos).
¿Cuál es la 'verdadera prosperidad' según Josué 1:8 y Deuteronomio 28?,El resultado de meditar y obedecer la palabra escrita del Eterno.
¿Qué es el 'Gnosticismo' y cómo afectó la interpretación de las Escrituras?,"Es una corriente que busca el crecimiento espiritual mediante conocimiento oculto, influyendo en doctrinas que rechazan la Torá física."
¿Cómo influyó la Biblia de Scofield en la percepción cristiana de la Torá?,Introdujo notas basadas en el pensamiento rabínico que separan a los gentiles de la obligación de estudiar y guardar la Torá.
¿Qué significa que Yeshua 'derribó la pared intermedia de separación' (Efesios 2:14)?,Significa que eliminó las leyes de separación fariseas para hacer de judíos y gentiles un solo pueblo en el pacto.
¿Qué importancia tiene el Shabat en la relación entre el Creador y Su pueblo?,Es un tiempo apartado (Kodesh) y una señal de reconocimiento de la soberanía de Dios como Creador.
"En la lección, ¿cuál es la mayor evidencia de que alguien tiene el Espíritu Santo?",Su deseo y acción constante de obedecer los mandamientos del Eterno.
¿Qué significa el término griego 'Peripateo' en el contexto de Gálatas 5?,"Significa caminar, vivir o conducirse; se refiere al estilo de vida del creyente."
"Según Mateo 7:22, ¿por qué los milagros y profecías no garantizan la entrada al Reino?",Porque no pueden reemplazar la obediencia a la voluntad del Padre.
La expresión 'lisonjea a su prójimo' en Proverbios 29:5 se usa para ilustrar el peligro de _____.,Buscar la aprobación de los hombres y sus tradiciones por encima de la voluntad de Dios.
¿Qué relación existe entre la 'verdad' y la 'santificación' según Juan 17:17?,"Yeshua pide al Padre que santifique a Sus discípulos en Su verdad, afirmando que Su palabra es la verdad."
¿Por qué Pablo confrontó a Pedro públicamente y no en privado?,Porque el comportamiento de Pedro afectaba a toda la comunidad y ponía en riesgo la verdad del Evangelio ante los demás judíos.
Concepto: Tamim.,"Término hebreo para 'perfecto, íntegro o recto'; describe a quienes andan en la Torá."
¿Cuál es el 'todo del hombre' según la conclusión de Eclesiastés 12:13?,Temer a Dios y guardar Sus mandamientos.
"Según la lección, ¿qué tipo de carne se prohíbe comer en la dieta bíblica?","Animales impuros como el cerdo, el caballo, los camarones y el conejo."
¿Qué sucede con un hogar que decide vivir conforme a la Torá?,"Se convierte en un hogar saludable, próspero y bajo el respaldo de la sabiduría del Eterno."
¿A qué se refiere Pablo con 'crucificar las pasiones y deseos'?,A someter los impulsos egoístas y pecaminosos bajo la autoridad de la voluntad divina.
"En el juicio final, ¿por qué cosas serán juzgados los muertos según Apocalipsis 20:12?","Por las cosas escritas en los libros, según sus obras."