"¿Qué significa el término hebreo ""Mishpatim""?","Leyes, juicios, decretos o actos de rectitud."
"¿Cuál es el significado de la palabra en singular ""Mishpat""?","Un veredicto, sentencia o una norma de vida."
"Según la Torá, ¿quién es el único que establece los decretos (mishpatim)?",El Creador (no el hombre).
"En el contexto de las Escrituras, ¿en qué consiste el poder transformador de los decretos?",En la obediencia a las normas divinas que preservan el orden y la justicia.
"Según Éxodo 22:1, si alguien roba un buey y lo degüella o vende, ¿cuántos bueyes debe pagar?",Cinco bueyes.
"Según Éxodo 22:1, ¿cuál es la restitución por el robo de una oveja que ha sido degollada o vendida?",Cuatro ovejas.
¿Qué principio espiritual de reparación del daño se enseña a través de las leyes de restitución?,Que el arrepentimiento verdadero requiere compensar la pérdida causada.
"El término hebreo ""Teshuvá"" se traduce generalmente como arrepentimiento, pero su significado literal es _____.",Retornar o restaurar.
"Según Efesios 4:28, además de dejar de hurtar, ¿qué acción debe realizar el que robaba para rectificar su vida?",Trabajar para compartir con el que tiene necesidad.
"Según Éxodo 22:5, si un animal pasta en el campo de otro, el dueño debe restituir con lo _____ de su propia viña.",Mejor.
"¿Qué representan espiritualmente las ""bestias"" o animales que invaden el campo ajeno?","Nuestros instintos carnales, egoísmo o arrogancia."
"Según el principio de Éxodo 22:5, ¿dónde termina la libertad de una persona?",Donde comienza la libertad del otro.
¿Qué obligación establece Éxodo 22:6 para quien enciende un fuego que destruye la cosecha del vecino?,Debe pagar la totalidad de lo quemado.
¿A qué miembro del cuerpo compara Santiago 3:5 con un fuego capaz de incendiar un gran bosque?,La lengua.
Concepto: Lashón hará,Definición: Lengua maligna o el acto de hablar mal del prójimo.
"Según Mateo 12:36, ¿de qué darán cuenta los hombres en el día del juicio?",De toda palabra ociosa que hablen.
"¿Qué significa el término griego ""argos"" utilizado para describir palabras ociosas?","Inactivo, inútil o improductivo."
"Según Éxodo 21:18-19, si alguien hiere a su prójimo en una riña y este queda en cama, ¿qué dos cosas debe pagar el agresor?",El tiempo que estuvo sin trabajar y los gastos de su curación.
¿Cómo describe Proverbios 12:18 a las palabras de los hombres que causan heridas profundas?,Como golpes de espada.
Término: Corbán,Definición: Ofrenda o sacrificio cuyo objetivo es el acercamiento al Eterno.
"Según Mateo 5:23-24, ¿qué debe hacerse antes de presentar una ofrenda si un hermano tiene algo contra ti?",Reconciliarse primero con el hermano.
¿Por qué Éxodo 22:21 prohíbe engañar o angustiar al extranjero?,Porque Israel fue extranjero en la tierra de Egipto.
¿Qué transformación espiritual propone la Torá para el sufrimiento pasado?,Convertir las heridas en puentes de compasión y propósito para ayudar a otros.
"¿Qué significa el término griego ""cainos"" en el contexto de ser una ""nueva criatura"" (2 Corintios 5:17)?","Nuevo en calidad o renovado en naturaleza (no historial borrado, sino historia transformada)."
¿Qué prohíbe específicamente Éxodo 23:2 respecto a la presión social?,Seguir a la mayoría (los muchos) para hacer el mal.
"En Romanos 12:2, ¿qué significa el término griego ""susgematizo"" (conformarse)?",Ser moldeado o tomar el esquema del mundo circundante.
"Según Josué 1:7-8, ¿cuál es la estrategia principal para prosperar y tener éxito en la vida?",Meditar y obedecer la Torá sin apartarse a diestra ni a siniestra.
¿Qué acción ordena Éxodo 23:4 si se encuentra el buey extraviado de un enemigo?,Llevárselo de vuelta.
Término: Oyev,Definición: Adversario u opositor que te aborrece u ofende.
"Según Levítico 19:18, ¿qué actitud interna está prohibida hacia los hijos del pueblo?",Vengarse o guardar rencor.
"El término griego ""agapao"" (amar) en la perspectiva bíblica se define como _____.","Una decisión o compromiso activo de hacer el bien, no un sentimiento."
"Según Salmos 106:3, ¿quiénes son considerados dichosos (ashrey)?",Los que guardan los decretos (mishpat) y hacen justicia en todo tiempo.
"Etimológicamente, la palabra ""Eser"" (felicidad) proviene de la raíz ""Ashar"", que significa _____.","Ser recto, estable o actuar con rectitud."
"El término hebreo ""Raquil"" (Levítico 19:16) describe a una persona que es un _____.","Chismoso, detractor o calumniador."
"¿Qué significa el término griego ""sapros"" (Efesios 4:29) al referirse a palabras corrompidas?",Algo podrido o descompuesto que no vale nada.
Término: Eved,"Definición: Siervo o sirviente, generalmente por deuda o pobreza (no un esclavo explotado)."
"En el caso de un siervo, ¿cuál es la consecuencia legal si el amo le hace saltar un diente o daña su ojo?",El amo debe darle libertad como compensación.
"¿Cuál es la interpretación hebrea correcta de la ""Ley del Talión"" (ojo por ojo)?","Una restitución monetaria proporcional al daño causado, determinada por jueces."
"Según Mateo 6:14-15, ¿cuál es la condición para que el Padre celestial perdone nuestras ofensas?",Que nosotros perdonemos a los hombres sus ofensas.
"Según la enseñanza de Yeshua en Mateo 5:38-41, ¿cuál debe ser la respuesta del discípulo ante la ofensa personal?",No resistir al malo y evitar la venganza por mano propia.
Término: Palil,Definición: Magistrado o juez encargado de determinar las penas proporcionales.
"¿Qué diferencia establece el estudio entre el necesitado ""permanente"" (viuda, huérfano) y el ""menesteroso"" (evión)?",Al permanente se le ayuda sin esperar nada; al menesteroso se le presta para su sustento.
"Según Colosenses 1:16, ¿cuál fue el papel de Yeshua en la creación?",Él es el agente creador por medio de quien y para quien fueron creadas todas las cosas.
"En el pensamiento hebreo, ¿qué es la ""Davar"" del Eterno en relación con la creación?",La expresión inmanente o palabra activa que produce la realidad.
"Según Salmos 33:6, ¿por qué medio fueron hechos los cielos?",Por la palabra ($Davar$) de Adonay.
"¿A qué se refiere el título de ""profetiza"" (nevía) aplicado a Miriam en Éxodo 15:20?",A su rol como portavoz que proclama o canta la palabra de Dios por inspiración.
"Según Mateo 25:40, ¿cómo considera el Rey las acciones de ayuda hacia los ""hermanos más pequeños""?",Como si se las hubieran hecho a él mismo.
"De acuerdo con Deuteronomio 14:28-29, ¿cuál era uno de los propósitos sociales del diezmo?","Sustentar al levita, al extranjero, al huérfano y a la viuda."
¿Por qué es riesgoso dar dinero directamente a familiares con adicciones activas?,Porque puede fomentar la codependencia y financiar la autodestrucción del familiar.
Término: Sedacá,Definición: Justicia solidaria o caridad activa requerida por la Torá.
"Según Éxodo 21:20, si un amo hiere a su siervo y este muere inmediatamente, ¿cuál es la consecuencia para el amo?",Será castigado (bajo la ley de vida por vida).
"¿Qué pecado se describe con el término hebreo ""Avón""?","La iniquidad, o el estado donde el pecado se ha normalizado y torcido en una sociedad."
"El primer tipo de pecado mencionado es ""Jatá"", que se define como _____.","Un error, tropiezo o pecado inadvertido."
"Según Deuteronomio 4:6, ¿cómo verán las naciones a Israel si guardan los estatutos y decretos?","Como un pueblo sabio, entendido y una nación grande."
"En la oración inicial de Iván Martínez, ¿quién es el único que puede dar la comprensión plena de la instrucción divina?",El Ruach HaKodesh (Espíritu Santo).