"¿Qué término hebreo, derivado de la raíz $Kahal$, da nombre a la parashá que significa 'Y reunió'?",Vayakhel.
"¿Cuál es el significado del nombre de la parashá $Pekudei$, basándose en su raíz hebrea $Paqad$?","Cuentas, registro o inventario."
"En un año bisiesto hebreo de $13$ meses, ¿cuántas porciones o parashot se estudian en total?",Se estudian $54$ porciones.
"¿Qué palabra hebrea define al tabernáculo como el 'lugar donde habita, mora o reside' la presencia de Adonai?",Mishkán.
¿De qué raíz hebrea proviene el término $Migdash$ (santuario) y qué significa dicha raíz?,"Proviene de $Kadash$, que significa santificar, consagrar o apartar."
"Según la enseñanza sobre la estructura del Mishkán, ¿qué debe establecer el creyente antes de que la presencia divina pueda habitar en él?",Debe establecer un lugar santo o apartado ($Migdash$).
"En el contexto del Brit Hadashá, ¿qué término griego utiliza Juan $1:14$ para indicar que la Palabra 'extendió su tabernáculo' entre los hombres?",El término $Skenó$.
¿Qué profecía de la Torá en Levítico $26:11$ anuncia que el Eterno pondría su tabernáculo celestial para caminar entre los hombres?,Pondré mi morada ($Mishkán$) en medio de vosotros y andaré ($Alaj$) entre vosotros.
La puerta del atrio tenía cuatro colores; ¿qué aspecto del Mesías representa el color azul?,Representa su origen divino y divinidad.
¿Qué simboliza el color púrpura en la cortina de la única puerta del Tabernáculo?,Representa la realeza y la autoridad del Mesías Yeshua.
¿Cuál es el significado simbólico del color carmesí en los elementos textiles del Mishkán?,Representa la sangre y el sacrificio del Mesías.
"En el simbolismo del Mishkán, ¿qué representan las cuatro columnas que sostenían la cortina de la puerta principal?",Representan los cuatro evangelios que muestran la identidad de Yeshua.
¿Cuáles son las tres divisiones principales del Tabernáculo de Moisés?,"El Atrio (Patio), el Lugar Santo y el Lugar Santísimo."
¿Qué realidad humana y nivel celestial representa el Atrio ($Hatser$)?,Representa el cuerpo (realidad física) y el primer cielo.
¿Qué parte de la constitución humana y qué nivel celestial se asocian con el Lugar Santo ($Hakodesh$)?,Se asocian con la mente (alma/conciencia) y el segundo cielo.
¿Qué término hebreo designa al Lugar Santísimo y qué parte del hombre representa?,Se designa como $Kodesh$ $Hakodashim$ y representa la $Neshamá$ (espíritu/aliento de vida).
¿Qué metal predomina en el Atrio y qué simboliza respecto a la condición humana?,"El bronce, el cual representa la humanidad, la fragilidad y la mortalidad."
¿Qué significado espiritual tiene el Altar de Holocausto ubicado en el patio del Mishkán?,Simboliza la renuncia al pecado y el sacrificio de la carne.
¿Cuál es la función simbólica de la Fuente de Bronce ($Kiyor$) para el creyente?,Simboliza la limpieza y purificación constante por medio de la Palabra.
"Dentro del Lugar Santo, ¿qué representa la Mesa de los Panes de la Proposición?",Representa el estudio y el sustento de la Palabra del Eterno.
¿Qué elemento del Lugar Santo simboliza la guía y luz del Espíritu de Santidad ($Ruaj$ $HaKodesh$)?,La Menorá.
¿Qué práctica espiritual representa el Altar de Incienso posicionado ante el velo del Lugar Santísimo?,Representa la oración de los santos.
¿Qué contenía el Arca del Testimonio en el $Kodesh$ $Hakodashim$ como base del pacto?,Contenía las Tablas del Testimonio (los diez mandamientos).
¿Cuál fue el primer mandamiento o instrucción específica que Moisés dio antes de iniciar la construcción del tabernáculo en Éxodo $35$?,La observancia del Shabat.
¿Cómo demostró Moisés integridad financiera respecto a los materiales sobrantes en Éxodo $36$?,Impidió al pueblo seguir ofrendando porque el material ya era suficiente y sobraba.
"Según la parashá $Pekudei$, ¿quiénes fueron los dos artífices principales encargados del diseño y construcción del Mishkán?",Bezalel (tribu de Judá) y Aholiab (tribu de Dan).
¿Qué inscripción portaba el sumo sacerdote en la lámina de oro de su mitra ($Mitznefet$)?,Santidad a Adonai ($Kodesh$ $L'Adonai$).
¿Qué representa el Lino Fino blanco en las vestiduras sacerdotales según Apocalipsis $19:8$?,Representa las acciones justas de los santos.
¿Cuántas piedras preciosas tenía el Pectoral del Juicio ($Joshen$) y qué representaban?,Tenía $12$ piedras que representaban a las $12$ tribus de Israel.
¿Qué término hebreo define las leyes de justicia social y rectitud que rigen el comportamiento del pueblo?,Mishpatim.
"Según Efesios $2:12$, ¿cuál es la condición espiritual de un 'gentil' respecto a Israel?","Está sin el Mesías, alejado de la ciudadanía de Israel y ajeno a los pactos de la promesa."
¿A qué se refiere el apóstol Pablo con la expresión 'vestirse del nuevo hombre'?,A asumir la identidad de Yeshua y vivir en santidad y justicia.
"En el análisis de Gálatas $4:10$, ¿a qué se refiere Pablo con 'días, meses, tiempos y años' si no es al calendario bíblico?",Se refiere a los rudimentos pobres y calendarios paganos de la antigua vida idólatra de los gálatas.
¿Qué es la $Tzedaká$ y cómo se diferencia de una ofrenda institucional?,Es un acto de justicia y caridad motivado por el corazón para ayudar al necesitado.
¿Qué sucede con la identidad de un creyente cuando es injertado en el 'buen olivo' según Romanos $11$?,Deja de ser extranjero y se convierte en conciudadano de los santos y miembro de la familia de Elohim.
Concepto: Integridad Bíblica.,"Definición: Actuar conforme a los valores y principios del Reino de Elohim, incluso cuando nadie está mirando."
¿Qué advertencia hace $2$ Pedro $3:16$ sobre las cartas del apóstol Pablo?,Que los indoctos e inconstantes las tuercen por ser difíciles de entender.
¿Cuál es la 'Ley del Mesías' mencionada en Gálatas $2:2$ vinculada a Levítico $19:18$?,Amar al prójimo como a uno mismo (sobrellevar las cargas de los otros).
"En la visión de la Nueva Jerusalén, ¿por qué no hay una puerta específica para 'gentiles'?",Porque el acceso es exclusivamente a través de las puertas que llevan los nombres de las $12$ tribus de Israel.
"La palabra griega $Scoti$ en Efesios $4:18$ describe un entendimiento _____, típico de la mente gentil.",Entenebrecido u oscurecido.
¿Qué significa que el Mesías Yeshua sea la 'Puerta' en relación con el tabernáculo?,Que Él es el único acceso legítimo a la presencia del Padre y a la salvación.
"¿Qué metal celestial describe Apocalipsis $21:18$ como material de la Nueva Jerusalén, coincidiendo con el interior del Mishkán?",Oro puro.
¿Qué pidió Moisés específicamente para que el pueblo trajera como 'ofrenda elevada' en Éxodo $25:2$?,Terumá.
El proceso de 'renovación del entendimiento' mencionado en Romanos $12:2$ tiene como fin comprobar la _____.,"Buena voluntad de Adonai, agradable y perfecta."
¿Qué es un 'pacificador' según Mateo $5:9$ y cuál es su recompensa?,Es alguien que busca el $Shalom$ y será llamado hijo de Elohim.
"Según la Torá, si alguien hiere a su prójimo y este cae en cama, ¿cuál es el 'justo juicio' ($Mishpat$) que debe aplicarse?",El agresor debe pagar por el tiempo perdido de trabajo y costear la curación completa.
"En el contexto de la identidad, ¿qué significa ser un 'Real Sacerdocio' según $1$ Pedro $2:9$?",Ser un linaje escogido y una nación santa apartada para anunciar las virtudes de Elohim.
¿Dónde se colocaba el Libro de la Torá (el Libro del Pacto) tras ser finalizado por Moisés?,Se ponía al lado del Arca del Testimonio.
¿Por qué el tabernáculo terrenal se considera una 'sombra y figura'?,Porque fue construido siguiendo un modelo divino celestial mostrado a Moisés en el monte.
"La lámpara del cuerpo es el _____; si este es maligno, todo el cuerpo estará en tinieblas.",Ojo.
¿Cuál es el propósito final de la manifestación de la gloria de Adonai ($Kevod$ $Adonai$) sobre el Mishkán?,Confirmar la aprobación divina de la obra y habitar en medio de Su pueblo.
¿Qué representa el 'cinto del Efod' en la vestidura del sumo sacerdote?,Representa la disposición para el servicio y la justicia.
"En el pensamiento hebreo, la ignorancia espiritual no es falta de datos, sino una _____ de la vida de Elohim.",Desconexión total.
¿A quiénes estaban destinadas las ofrendas recolectadas por Pablo en macedonia y acaya?,A los pobres de entre los santos (judíos creyentes) en Jerusalén.
¿Qué significa que la Torá sea un 'espejo' para el creyente?,Que nos confronta con nuestra realidad para realizar los ajustes necesarios conforme a la voluntad de Dios.
El arca del testimonio también funcionaba como una _____ o contrato matrimonial entre Israel y el Eterno.,Ketubá.
¿Qué elemento del tabernáculo móvil guiaba a los israelitas en su trayecto por el desierto?,La nube de día y la columna de fuego de noche sobre el Mishkán.
¿Cuál es el significado de la palabra hebrea 'Mishpatim' en relación al pectoral del sumo sacerdote?,Significa 'rectitud' o 'juicios justos'.
¿Qué distingue al Mesías histórico de las versiones 'gentilizadas' según la enseñanza?,"Que el Mesías verdadero guardó la Torá, el Shabat y las fiestas bíblicas."
¿Qué implica la 'circuncisión del corazón' necesaria para celebrar Pésaj espiritualmente?,Implica la decisión de amar a Adonai y guardar Sus mandamientos con sinceridad.