¿Qué significa literalmente el término hebreo 'Tetzavé'?,Mandarás u ordenarás.
¿Cuál es el rango de capítulos y versículos que comprende la Parashá Tetzavé en el libro de Éxodo?,Éxodo 27:20 hasta Éxodo 30:10.
¿De qué raíz hebrea deriva la palabra 'Tetzavé'?,"De la raíz 'Savá' ($sav\acute{a}$), que significa mandar u ordenar."
Término hebreo para 'mandamiento' que comparte la raíz con 'Tetzavé':,Mitzvá ($mitzv\acute{a}$).
¿Qué tipo de aceite se requiere específicamente para el alumbrado de la Menorá según Éxodo 27:20?,Aceite puro de olivas machacadas.
"En el contexto espiritual de la Menorá, ¿qué representa el aceite puro?","El Espíritu de Santidad ($Ruaj\ Hakodesh$), la fe y la obediencia."
¿Cuál es la función simbólica de la luz perpetua de la Menorá en el Mishkán?,Representar la presencia continua del Eterno y la obediencia a la Torá.
"Según el Salmo 119:105, ¿con qué elemento del Mishkán se compara la palabra del Eterno?",Con una lámpara y una lumbrera.
"En la parábola de las diez vírgenes, ¿qué simboliza la falta de aceite en las lámparas?",Una fe superficial carente de obediencia a la Torá.
¿Qué término griego utiliza el Mesías para describir a quienes viven sin la instrucción de la Torá?,Anomia (sin ley o infracción de la Torá).
¿Cuál es el propósito declarado de las vestiduras sagradas de Aarón según Éxodo 28:2?,Para honra y hermosura.
¿Qué disciplina espiritual representa el Efod y sus hombreras con las piedras de ónice?,"El servicio, cargando con las necesidades del prójimo."
¿Cuántos nombres de las tribus de Israel se grababan en cada una de las piedras de ónice de las hombreras?,"Seis nombres en cada piedra, conforme al orden de nacimiento."
"En el simbolismo de los colores del Efod, ¿qué representa el color azul?","La santidad, la obediencia y lo celestial."
"En el simbolismo de los colores del Efod, ¿qué representa el oro?",La fe purificada a través de las pruebas.
"En el simbolismo de los colores del Efod, ¿qué representa el color púrpura?",La realeza.
"En el simbolismo de los colores del Efod, ¿qué representa el carmesí o escarlata?",El sacrificio y la sangre.
¿Qué nombre recibe el pectoral del Sumo Sacerdote y qué significa el término 'Mishpat' asociado a él?,"Pectoral del Juicio o de la Rectitud; 'Mishpat' significa rectitud, justicia o decreto."
¿Cuántas hileras de piedras preciosas contenía el Pectoral de la Rectitud?,"Cuatro hileras de tres piedras cada una, sumando doce en total."
¿Qué elementos se colocaban dentro del Pectoral de la Rectitud para discernir la voluntad divina?,El Urim y el Thummim.
¿Cuál es el significado etimológico de 'Urim' y 'Thummim'?,Luces y Perfecciones (o integridad/madurez).
¿Qué disciplina espiritual se asocia con el uso del Pectoral de la Rectitud sobre el corazón?,El estudio y la obediencia a la Torá para obtener discernimiento.
¿Qué significan las granadas y campanillas en el borde del manto azul del sacerdote?,Los frutos del espíritu y el testimonio de las buenas obras.
"Según la interpretación de la Parashá, ¿por qué las campanillas debían sonar cuando el sacerdote ministraba?",Para que sus acciones resonaran con propósito y dieran evidencia de su fe.
¿Qué inscripción llevaba la diadema o lámina de oro en la frente del Sumo Sacerdote?,Santidad a Adonay ($Kodesh\ la\ YHVH$).
¿Por qué el sello de santidad debía portarse específicamente sobre la frente?,Porque la santidad comienza en la mente y la voluntad.
"¿Qué material compone la túnica y la mitra, y qué representa espiritualmente?","Lino fino, que representa la justicia y las acciones caritativas ($Tzedak\acute{a}$)."
¿Qué simboliza el acto de ceñirse con el cinturón en la vestimenta sacerdotal?,La vigilancia y la preparación constante para el servicio.
¿Cuál es el primer paso en el ritual de consagración de los sacerdotes antes de ser vestidios?,El lavado con agua en la puerta del Tabernáculo.
"En el ritual de consagración, ¿qué representa el agua?",La purificación mediante el arrepentimiento y la palabra del Eterno.
¿Qué disciplina espiritual se deriva de las ofrendas diarias de corderos por la mañana y la tarde?,La adoración y exaltación continua (sacrificio de alabanza).
¿Cuál es el significado hebreo de la palabra 'Corbán' ($Qorb\acute{a}n$)?,Acercamiento.
¿Qué representan las oraciones de los santos en el simbolismo del Mishkán?,El incienso quemado en el Altar de Incienso.
¿Dónde se ubicaba exactamente el Altar de Incienso dentro del Tabernáculo?,Frente al velo que separaba el Lugar Santo del Lugar Santísimo.
Concepto: Kadosh,"Definición: Santo, apartado o sagrado; alguien libre de impureza que trasciende lo profano."
¿Qué diferencia fundamental existe entre la 'Justificación' y la 'Salvación' según el texto?,La justificación es un acto legal instantáneo; la salvación es un proceso continuo de perseverancia.
Término hebreo para el arrepentimiento que significa 'volver' o 'retornar':,Teshuvá ($Teshuv\acute{a}$).
"Según Efesios 4:24, ¿qué significa 'revestirse del nuevo hombre' en relación con la Parashá?",Incorporar las disciplinas espirituales simbolizadas en las vestiduras sacerdotales.
¿Cómo se define el 'fruto del espíritu' de la 'Mansedumbre' en términos de conducta?,"Humildad ante el Eterno y el prójimo, viviendo sin arrogancia ni orgullo."
"En el contexto de las vestiduras, ¿qué simboliza el color blanco del lino?",La justicia y la pureza.
¿Qué representa la aplicación de sangre en el lóbulo de la oreja derecha durante la consagración?,La consagración del oído para escuchar y obedecer la voz del Eterno ($Shem\acute{a}$).
¿Qué indica el cierre de la puerta en la parábola de las diez vírgenes?,El fin del tiempo de gracia para aquellos que no se prepararon con obediencia.
¿Cuál es la relación entre el perdón de 70 veces 7 y la genealogía de Caín en Génesis 4?,Contrasta el perdón ilimitado del Reino con la venganza ilimitada proclamada por Lamec.
¿Qué es la 'Anomia' en el pensamiento bíblico?,La transgresión o violación sistemática de la Torá.
¿A quiénes se destinaba legalmente el diezmo en el sistema levítico?,"A los levitas, extranjeros, huérfanos y viudas."
Término hebreo para la caridad o justicia social:,Tzedaká ($Tzedak\acute{a}$).
¿Qué función cumplía el Sumo Sacerdote respecto a los nombres de las tribus sobre sus hombros?,Llevarlos como memorial delante del Eterno continuamente.
¿Bajo qué condición el lobo morará con el cordero según la interpretación simbólica de Isaías 11:6?,"Bajo la restauración del Reino Mesiánico, uniendo a Israel y las naciones en armonía."
¿Cuál es la diferencia entre el 'Soplo de Vida' ($Neshama$) y el 'Espíritu de Adonay' ($Ruaj\ HaKodesh$)?,El soplo de vida da existencia física a todos; el Espíritu de Adonay guía y santifica a los creyentes.
¿Qué significa ser 'Tamim' en el contexto del Urim y Thummim?,"Ser íntegro, completo, maduro o perfecto espiritualmente."
"Según Mateo 7:21, ¿quién entrará en el Reino de los Cielos?",Aquel que hace la voluntad del Padre (obediencia).
¿Qué simboliza el uso constante de la placa de oro en la frente de Aarón respecto a las ofrendas de Israel?,Que él cargaba con las faltas de las cosas santas para que el pueblo obtuviera gracia.
¿Cuál es el propósito del mandamiento de que el Rey escribiera su propia copia de la Torá?,Para que aprendiera a temer a Adonay y no se elevara su corazón sobre sus hermanos.
¿Qué representa el 'Lino fino' en el libro de Apocalipsis 19:8?,Las acciones justas de los santos.
El sacrificio diario que se ofrecía 'continuamente' se conoce en hebreo como _____.,Tamid ($Tam\acute{i}d$).