"¿Qué significa el nombre del ministerio ""Hasag v emats""?","Significa ""Esfuérzate y sé valiente""."
¿Cuál es el idioma original de las raíces que estudiamos en la Biblia?,El idioma hebreo.
¿Qué día de la semana es el Shabat?,Es el séptimo día de la semana.
El Shabat es un tiempo especial para descansar y estar con _____.,Nuestro Padre Celestial (Dios).
"¿Qué significa la palabra hebrea ""Mishpatim""?","Significa ""juicios"" o leyes para vivir mejor."
¿Qué es la Torá?,Es la instrucción o guía que un padre amoroso da a sus hijos.
¿Cómo se llama el libro que contiene la historia de Yeshua y sus discípulos?,El Nuevo Testamento (o Brit Hadashá).
¿Cómo se llama el libro que contiene la ley y los profetas?,El Antiguo Testamento (o Tanaj).
"En la Biblia, Dios es comparado con una fuente de agua _____.",Viva.
"¿Qué representa una ""cisterna rota"" en las enseñanzas del video?",Representa seguir reglas inventadas por hombres en lugar de las de Dios.
La palabra de Dios es como la _____ que cae del cielo para hacer crecer frutos.,Lluvia.
¿Qué produce la palabra de Dios en nuestro corazón cuando la obedecemos?,Produce buen fruto y un cambio positivo.
"Según el profeta Jeremías, ¿qué tipo de sendas debemos buscar?",Las sendas antiguas (el camino original de Dios).
"¿Qué significa la palabra hebrea ""Olam""?","Significa ""eterno"" o que dura para siempre."
¿Qué es el pecado según la Biblia?,Es desobedecer las instrucciones y leyes de Dios.
¿Cómo es la ley de Dios según el Salmo 19:7?,Es perfecta.
La ley de Dios tiene el poder de convertir o cambiar nuestra _____.,Alma.
¿Quién inspiró a los hombres para que escribieran la Biblia?,El Espíritu Santo.
"¿Qué significa la palabra ""Kadosh""?","Significa ""santo"" o apartado para Dios."
¿Qué significa ser santo para un niño que sigue a Dios?,Significa ser diferente al mundo y obedecer a Dios.
¿Qué característica debe tener la pezuña de un animal limpio para comer?,Debe ser pezuña hendida (partida en dos).
"Además de la pezuña, ¿qué otra cosa debe hacer un animal terrestre para ser limpio?",Debe rumiar (masticar de nuevo el alimento).
¿Es el cerdo un animal que Dios nos permite comer?,"No, es un animal inmundo según la Biblia."
¿Es el conejo un animal limpio para comer según las instrucciones de Dios?,"No, es un animal inmundo."
¿Yeshua vino a quitar o destruir la ley de Dios?,"No, Él vino para cumplirla y enseñarla correctamente."
"¿Qué significa ""cumplir"" la ley como lo hizo Yeshua?",Significa hacerla brillar y mostrar cómo se obedece de verdad.
¿Qué día de la semana guardaba Yeshua para descansar?,Él guardaba el Shabat.
¿Qué es un discípulo?,Es alguien que aprende de su maestro y trata de ser como él.
"Según 1 Juan 2:6, el que sigue a Yeshua debe andar como Él _____.",Anduvo (u obedeció).
"En Apocalipsis 14:12, los santos guardan los _____ y tienen fe en Yeshua.",Mandamientos.
¿Qué sucede cuando mezclamos las fiestas de Dios con fiestas de otros dioses?,Eso se llama sincretismo y no le agrada a Dios.
¿Cuál es la verdadera fiesta donde celebramos que Yeshua vino al mundo?,La fiesta de Sucot (o Tabernáculos).
¿De dónde vienen tradiciones como el árbol de Navidad?,Vienen de pueblos antiguos que no seguían al Dios de la Biblia.
¿Por qué es importante no añadir ni quitar nada a la Biblia?,Porque la palabra de Dios es perfecta y completa.
"¿Qué es la ""Teshubá""?",Es arrepentirse y volver al camino de Dios.
¿Qué mira Dios antes que cualquier regalo: el exterior o el corazón?,Dios mira primero el corazón.
"En la Biblia, el agua de la fuente representa la _____ de Dios.",Instrucción (o Torá).
"¿Qué es un ""Guer""?",Es una persona de otra nación que decide seguir al Dios de Israel.
¿Qué animalito usaron los israelitas para hacer un ídolo en el desierto?,Un becerro de oro.
¿Yeshua comía alimentos inmundos como el cerdo?,"No, Él obedecía las leyes de alimentación de Su Padre."
¿Qué le dijo Pedro a Dios sobre comer cosas inmundas?,Dijo que jamás había comido nada sucio o inmundo.
Seguir a Yeshua significa ser sus manos y pies en la tierra haciendo lo _____.,Correcto.
¿Qué nos hace libres según las palabras de Yeshua?,Conocer la verdad.
"El yugo de Yeshua no es pesado, es _____.",Ligero.
¿Qué significa el término griego $\pi\alpha\rho\alpha\delta o\sigma\iota\varsigma$ (paradosis)?,Significa tradición de hombres.
¿Por qué el Shabat es una delicia según Isaías 58:13?,Porque es un día para disfrutar con Dios sin preocupaciones.
¿Qué debemos hacer si vemos que una regla de hombres va en contra de la Biblia?,Debemos obedecer siempre lo que dice la Biblia.
¿Quién es el Gran Maestro de todos los discípulos?,Yeshua el Mesías.
La Biblia es como un mapa que nos lleva de regreso al _____ de Dios.,Corazón.
¿Cuántos mandamientos principales dio Dios en el monte Sinaí?,Diez mandamientos.
"¿Qué significa ser un ""imitador"" de Yeshua?",Significa tratar de hablar y actuar con amor y obediencia como Él.
"¿Por qué decimos ""Shabbat Shalom""?",Para desearle paz a los demás en el día de descanso.
"La palabra de Dios nunca vuelve vacía, siempre produce _____.",Vida.
¿Qué parte de la ley no pasará hasta que todo se cumpla?,Ni una jota ni una tilde (las partes más pequeñitas).
Caminar en las sendas antiguas nos da descanso para nuestra _____.,Alma.
¿Qué debemos hacer si queremos amar a Yeshua de verdad?,Debemos guardar Sus mandamientos.
¿Cuál es el propósito del año para los estudiantes de Hasag v emats?,Aprender más sobre la Biblia y ser mejores discípulos.
¿A quién debemos pedir ayuda para entender la Biblia?,Al Espíritu Santo (Rúaj HaKodesh).