¿Cuáles son los dos pilares del Sello de Dios?,Guardar los mandamientos y tener fe en Yeshua.
¿En qué partes del cuerpo se coloca el Sello de Dios?,En la mano y en la frente.
"En el Sello de Dios, ¿qué representa la mano?",Nuestras acciones y lo que hacemos.
"En el Sello de Dios, ¿qué representa la frente?",Nuestros pensamientos y lo que creemos.
¿Cómo se llama el nombre del Mesías en hebreo?,Yeshua.
¿Qué significa la palabra 'santificar'?,Apartar o separar algo especial para Dios.
¿Cuál es la contraparte o el enemigo del Sello de Dios?,La marca de la bestia.
¿Qué día de la semana es una señal de que pertenecemos a Dios?,El Shabat.
¿Cuántas personas son selladas de las tribus de Israel según Apocalipsis?,"144,000."
"¿El número 144,000 es una cantidad exacta o un símbolo?",Es un número simbólico que representa un gobierno de santos.
¿A quiénes vino a buscar Yeshua como el Buen Pastor?,A las ovejas perdidas de la casa de Israel.
¿Qué significa 'Ki Tisá'?,Cuando levantes (la cabeza).
¿Qué moneda debían dar los israelitas para el censo?,Medio siclo de plata.
¿Por qué Dios pidió 'medio' siclo y no uno entero?,Para enseñarnos que necesitamos a Dios y a los demás para estar completos.
¿A partir de qué edad se contaba a los hombres en el censo?,De los 20 años en adelante.
¿Qué lección nos da el censo sobre ricos y pobres?,Que todos somos iguales y valemos lo mismo ante Dios.
¿Para qué se usaba el dinero recolectado en el censo?,Para el servicio y mantenimiento del Tabernáculo (Mishkán).
¿Qué animal de oro fabricaron los israelitas por impaciencia?,Un becerro de oro.
¿Por qué el pueblo decidió hacer el becerro de oro?,Porque Moisés tardaba mucho en bajar del monte Sinaí.
¿Cuántos días estuvo Moisés en el monte hablando con Dios?,40 días y 40 noches.
¿Qué rompió Moisés cuando vio al pueblo adorando al ídolo?,Las tablas de piedra con los mandamientos.
¿Qué tribu fue la única que se puso del lado de Dios tras el pecado del becerro?,La tribu de Leví (los levitas).
¿Qué es la idolatría?,Adorar o poner algo antes que a Dios.
Los israelitas decían que el becerro era Dios. ¿Esto era verdad o mentira?,Era mentira; Dios prohíbe usar imágenes para representarlo.
¿Qué objeto del Tabernáculo servía para que los sacerdotes se lavaran?,La fuente de bronce.
¿Qué partes del cuerpo debían lavarse los sacerdotes antes de servir?,Las manos y los pies.
"En el Tabernáculo, ¿qué representa el agua?",La Palabra de Dios que limpia nuestras vidas.
¿Qué se usaba para apartar y hacer santas las cosas del Tabernáculo?,El aceite de la unción.
¿Qué representa el aceite de la unción en nuestra vida hoy?,El Espíritu Santo (Ruaj Hakodesh).
¿Qué representa el humo del incienso que subía al cielo?,Representa las oraciones de las personas.
¿Quién es el único mediador que nos conecta con Dios?,Yeshua el Mesías.
¿Qué significa la palabra 'Teshuvá'?,Arrepentirse y volver al camino de Dios.
¿Por qué brillaba la cara de Moisés al bajar del monte?,Porque había estado muy cerca de la presencia de Dios.
¿Qué material representa la redención y purificación en el Tabernáculo?,La plata.
Dios perdonó al pueblo y les dio nuevas tablas. ¿Cómo llamamos a esto?,Una segunda oportunidad.
¿Quiénes fueron los dos constructores principales del Tabernáculo?,Besalel y Aholiab.
¿Qué es un ídolo moderno?,"Cualquier cosa, como el dinero o los juguetes, que amamos más que a Dios."
¿Qué significa que somos 'piedras vivas'?,Que cada uno de nosotros ayuda a construir la casa espiritual de Dios.
¿Por qué es importante orar por la mañana y por la tarde?,"Para mantenernos siempre conectados con Dios, como el incienso del Tabernáculo."
El Sello de Dios se pone en la mano y en la _____.,frente
El animal de oro que hicieron los israelitas fue un _____.,becerro
El _____ es el día de descanso que Dios nos dio como regalo.,Shabat
¿Qué significa 'Moadim'?,Tiempos señalados o fiestas especiales de Dios.
¿Qué representa un 'corazón de carne'?,Un corazón que quiere obedecer y amar a Dios.
¿Cómo se llama la enseñanza o instrucciones que Dios nos dejó?,La Torah.
¿Qué sucede si alguien acepta la marca de la bestia?,Se rebela contra Dios y pierde su protección.
¿Qué representa la sangre del cordero en la fiesta de Pésaj?,La salvación y el sacrificio de Yeshua.
¿Por qué Dios nos pide obedecer sus mandamientos?,Para demostrarnos que nos ama y para que vivamos felices y protegidos.
¿Qué simbolizan los pies limpios en la vida de un creyente?,Caminar por el camino correcto sin pecado.
¿A quién debemos imitar para ser como Dios quiere?,A Yeshua.
¿Qué significa que Dios no hace 'acepción de personas'?,"Que Dios ama a todos por igual, sin importar cuánto dinero tengan."
¿Cuál era el trabajo de un profeta?,Llamar a la gente a que se arrepienta y obedezca a Dios.
¿Qué es el 'Ruaj Hakodesh'?,El Espíritu Santo de Dios.
¿Qué es el 'Mishkán'?,El Tabernáculo o la tienda donde habitaba la presencia de Dios.
¿Qué representa el aroma agradable para Dios?,Nuestra obediencia y nuestras oraciones sinceras.
¿En qué libro de la Biblia encontramos las reglas del censo?,Éxodo.
"Para que Dios escuche nuestras oraciones, debemos tener un corazón _____.",limpio
¿Qué material se usó para hacer la fuente del Tabernáculo?,Bronce.
¿Qué debemos hacer si cometemos un error o pecado?,Pedir perdón a Dios y hacer teshuvá (cambiar).
"Si amamos a Dios, guardamos sus _____.",mandamientos
¿Qué es el 'Emet'?,La Verdad de Dios.
¿Qué significa que Dios nos dio 'segundas tablas'?,Que Él es misericordioso y nos permite empezar de nuevo.
¿Qué representan las manos limpias en el servicio a Dios?,Hacer cosas buenas y no participar en lo malo.
¿Cuál es la mejor forma de adorar a Dios?,Viviendo en obediencia a Su Palabra.
"Yeshua dijo: 'Yo soy el _____, y nadie viene al Padre sino por mí'.",camino