¿Qué significa la palabra $\textit{Mishkán}$?,Significa Tabernáculo o la tienda donde vivía la presencia de Dios.
¿Cómo se llama el líder que recibió las instrucciones de Dios para construir el $\textit{Mishkán}$?,Moisés.
¿Quién fue el artista principal y sabio que construyó los objetos hermosos del Tabernáculo?,Bezalel.
¿De qué tribu de Israel venía el artista Bezalel?,De la tribu de Judá.
¿Cómo se llama el ayudante de Bezalel que también era un gran artista?,Oholiab.
¿De qué tribu de Israel venía Oholiab?,De la tribu de Dan.
¿Qué significa el nombre de la porción $\textit{Vayakhel}$?,"""Y reunió""."
¿Qué significa el nombre de la porción $\textit{Pekudei}$?,"""Cuentas"" o ""Registros""."
¿Qué día especial recordó Moisés al pueblo antes de empezar a construir?,El día de reposo o $\textit{Shabbat}$.
¿Qué metal brillante y muy valioso se usó para cubrir los objetos más sagrados?,El oro.
¿Qué metal se utilizó para las bases de las columnas del patio?,La plata.
¿Qué metal fuerte se usó para el Altar donde se hacían los sacrificios?,El bronce.
¿De qué color era la tela que nos recuerda al cielo?,Azul.
¿Qué color de tela se usaba para representar que Dios es nuestro Rey?,Púrpura (Morado).
¿Qué color de tela representaba la vida y el sacrificio?,Carmesí (Rojo).
El lino fino que se usó en el $\textit{Mishkán}$ era de color _____.,Blanco
¿Cómo se llamaba el patio grande que rodeaba la tienda de Dios?,El Atrio.
¿Para qué servía la Fuente de Bronce que tenía agua?,Para que los sacerdotes se lavaran las manos y los pies.
¿Cómo se llama el candelabro de oro con siete brazos?,Menorah.
¿Qué usaba la $\textit{Menorah}$ para dar luz?,Aceite de oliva.
¿Cómo se llamaba la mesa que tenía doce panes?,Mesa de la Proposición (o de los panes).
¿A quiénes representaban los 12 panes sobre la mesa?,A las 12 tribus de Israel.
¿Cada cuánto tiempo los sacerdotes cambiaban los panes por unos nuevos?,Cada $\textit{Shabbat}$.
¿Cómo se llamaba el altar pequeño donde se quemaba un perfume rico para Dios?,Altar del Incienso.
¿Qué representan las oraciones del pueblo en el Tabernáculo?,El humo del incienso.
¿Cómo se llamaba el lugar más secreto y especial donde estaba el Arca?,El Lugar Santísimo.
¿Qué objeto separaba el Lugar Santo del Lugar Santísimo?,Una cortina o velo.
¿Cuál era el objeto más sagrado de todo el $\textit{Mishkán}$?,El Arca del Pacto.
¿Qué figuras de ángeles de oro estaban sobre la tapa del Arca?,Los querubines.
¿Cómo se llama la tapa de oro del Arca del Pacto?,Propiciatorio.
¿Qué piedras con los Mandamientos estaban dentro del Arca?,Las Tablas de la Ley.
¿Qué comida milagrosa se guardaba en una vasija dentro del Arca?,El Maná.
¿Qué objeto de Aarón floreció de forma milagrosa y se guardó en el Arca?,Su vara.
¿Quién fue el primer hombre elegido para ser el Sumo Sacerdote?,Aarón.
¿Qué frase decía la lámina de oro que Aarón llevaba en su frente?,"""Santidad a Dios""."
¿Cuántas piedras preciosas tenía el pectoral que usaba el Sumo Sacerdote?,12 piedras.
¿Qué señal bajaba del cielo para mostrar que Dios estaba en el $\textit{Mishkán}$?,Una nube.
"Durante la noche, la nube de Dios se convertía en una columna de _____.",Fuego
¿Qué debía hacer el pueblo de Israel cuando la nube se movía?,Debían desarmar todo y seguirla.
¿En qué libro de la Biblia se cuenta cómo se construyó el Tabernáculo?,Éxodo.
¿Qué significa que el $\textit{Mishkán}$ era una estructura móvil?,Que se podía armar y desarmar para llevarla por el desierto.
¿Con qué materiales hicieron las mujeres la Fuente de Bronce?,Con sus espejos de bronce.
¿Cuántos brazos tenía la $\textit{Menorah}$ en total?,Siete brazos.
¿En qué mes del año se levantó por primera vez el $\textit{Mishkán}$?,En el mes de $\textit{Aviv}$ (o $\textit{Nissán}$).
¿Qué usaba Moisés para apartar o consagrar los objetos del Tabernáculo?,El aceite de la unción.
El lino blanco del Tabernáculo representa las acciones _____ del pueblo.,Justas (o buenas)
¿Quién revisó que todo estuviera bien hecho antes de terminar?,Moisés.
¿De qué madera estaban hechos casi todos los muebles del $\textit{Mishkán}$?,Madera de acacia.
¿Qué hacían las campanillas de oro en el manto del Sumo Sacerdote?,Hacían sonido para que todos supieran que él estaba trabajando.
¿Por qué el pueblo de Israel dio sus tesoros para el $\textit{Mishkán}$?,Porque querían hacerlo de corazón para Dios.
Concepto: $\textit{Kodesh}$,Definición: Significa algo que es santo o que está apartado para Dios.
"En el Lugar Santísimo, la gloria de Dios se manifestaba entre los dos _____.",Querubines
¿Cuántas columnas tenía la puerta de la entrada del patio?,Cuatro columnas.
¿Qué objeto servía para que el pueblo viera sus errores al lavarse?,Los espejos de la Fuente de Bronce.
¿Cuál era la única fuente de luz dentro del Lugar Santo?,La Menorah.
¿Cómo se llama el grupo de personas que ayudaban a cuidar el $\textit{Mishkán}$?,Los levitas.
¿Qué forma tenía el Altar de Bronce donde se hacían los sacrificios?,Era cuadrado.
¿Qué representaban las dos tablas de piedra dentro del Arca?,La Palabra de Dios (Los Diez Mandamientos).
¿De qué color era el manto principal que usaba Aarón sobre su túnica?,Azul.
¿Qué cubría el Tabernáculo cuando el pueblo debía descansar?,La nube de Dios.