¿Qué significa la palabra hebrea 'Terumá'?,Significa una contribución elevada o un regalo especial para Dios.
¿Qué es el 'Mishcán' que Dios pidió construir?,Es el santuario o la casita especial donde Dios quería vivir con Su pueblo.
"Según Éxodo 25:8, ¿cuál es el deseo principal de Dios al pedir un santuario?",Vivir en medio de Su pueblo y dentro de sus corazones.
La palabra 'Terumá' viene de la raíz 'Room'. ¿Qué significa 'Room'?,Significa levantar o elevar algo hacia Dios.
¿Qué es un 'corazón voluntario' (Nediv Livó)?,Es cuando alguien quiere dar un regalo a Dios con mucha alegría y sin que nadie lo obligue.
¿Por qué un esclavo no podía dar ofrendas en Egipto?,Porque un esclavo no era dueño de nada y no tenía libertad para elegir.
¿Cómo cambió Dios la dignidad de los israelitas al pedirles una Terumá?,Los hizo sentir libres y valiosos porque ahora tenían algo hermoso que ofrecer.
¿Qué representa el Oro en la construcción del santuario?,Representa una fe que se vuelve brillante y pura después de pasar por pruebas.
¿Qué le pasa al oro cuando se pone en el fuego?,Se limpia de toda la suciedad y se vuelve mucho más valioso.
¿Qué representa la Plata en el santuario?,Representa el rescate o el precio que se pagó para que fuéramos libres.
¿De dónde sacaron los israelitas el oro y la plata para el santuario?,"De Egipto, porque Dios hizo que los egipcios les dieran muchos tesoros al salir."
¿Qué representa el Bronce o Cobre espiritualmente?,"Representa el arrepentimiento, que es cuando le pedimos perdón a Dios por portarnos mal."
¿Para qué servía el agua en la fuente de bronce?,"Para que los sacerdotes se lavaran, igual que la Palabra de Dios nos limpia por dentro."
¿Qué significa el color Azul (Tejelet) en las telas del santuario?,Es como una brújula que nos hace mirar siempre hacia el cielo y hacia Dios.
¿Qué nos recuerda el color Púrpura?,Nos recuerda que somos hijos de un Rey y que tenemos mucha dignidad.
¿Qué representa el color Carmesí o rojo fuerte?,Representa el sacrificio y la sangre de Yeshua que limpia nuestros pecados.
¿Qué significa el Lino Fino blanco?,Significa portarse bien y hacer cosas justas y buenas que agradan a Dios.
¿Para qué servían las pieles de animales limpios en el santuario?,Servían para proteger el lugar santo y marcar un límite contra lo que está mal.
¿Qué representa la madera de Acacia?,"Nos representa a nosotros, que a veces somos 'torcidos', pero Dios nos endereza."
Concepto: Piedras del Efod,Representan que todos somos importantes y estamos unidos como una gran familia.
"En el Nuevo Pacto, ¿quiénes son las 'piedras vivas'?",Somos todos nosotros cuando nos unimos para ser el templo de Dios.
¿Quién es la 'Piedra Principal' que sostiene todo el edificio espiritual?,Nuestro Mesías Yeshua.
¿Qué es el 'Tafnit'?,Es el diseño o el plano perfecto que Dios le mostró a Moisés en el monte.
¿Podemos cambiar el diseño que Dios nos da para nuestra vida?,"No, debemos seguir Su palabra exactamente como Él la escribió."
¿Qué pasa cuando amamos a Yeshua y guardamos Su palabra?,Dios y Yeshua vienen a vivir dentro de nuestro corazón.
Terminación: Dios ama al dador _____.,Alegre
¿Qué significa la palabra 'Nadav'?,Significa dar algo por impulso propio y con muchas ganas de ayudar.
¿Qué es la 'Abodakashá'?,Es el trabajo duro y por miedo que hacían en Egipto.
¿Quién nos da el poder y la fuerza para tener cosas buenas y riquezas?,"Dios, nuestro Elohim."
¿Qué mira Dios antes de recibir nuestro regalo?,Él mira primero nuestro corazón y nuestras intenciones.
¿Por qué Dios aceptó el regalo de Abel y no el de Caín?,"Porque Abel dio su regalo con mucha fe y amor, pero Caín no."
¿Qué es un 'Migdash'?,Es un lugar muy especial y sagrado apartado solo para Dios.
¿Qué significa 'Egipto espiritual'?,"Es vivir con miedo, quejas o portándose mal, lejos de la voluntad de Dios."
¿Para qué servía el hilo azul en los mantos de los israelitas?,Para verlos y acordarse de obedecer todos los mandamientos de Dios.
¿Qué nos enseña el Lino Blanco sobre nuestra conducta?,Que lo que decimos creer debe notarse en lo que hacemos todos los días.
¿Qué significa ser un 'reino de sacerdotes'?,Significa que somos personas apartadas para servir a Dios y ayudar a otros.
¿Qué hizo Dios con Adán y Eva después de que se portaron mal en el jardín?,"Les dio túnicas de piel para cubrirlos, dándoles una nueva oportunidad."
¿Qué significa la palabra 'Teshuvá'?,Significa arrepentirse y volver al caminito de Dios.
¿Cómo se llama el libro de Éxodo en hebreo?,"Se llama 'Shemot', que significa 'Nombres'."
¿Es la obediencia a Dios una carga muy pesada?,"No, es una alegría porque lo hacemos por amor a nuestro Padre Celestial."
¿Qué significa que Dios quiera hacer 'morada' en nosotros?,Significa que quiere ser nuestro mejor amigo y quedarse a vivir en nosotros para siempre.
¿Quién es el arquitecto que nos enseña cómo vivir?,"Dios, a través de Su palabra que es la Torá."
¿Qué representa el aceite para el alumbrado en el santuario?,Representa la luz de Dios que guía nuestros pasos.
¿Por qué somos como 'piedras preciosas' para Dios?,Porque valemos mucho para Él y nos lleva grabados en Su corazón.
¿Qué es el 'Rua Hakodesh'?,Es el Espíritu de Santidad de Dios que nos da sabiduría y entendimiento.
¿Qué nos enseña la madera de acacia sobre nuestros defectos?,"Que aunque seamos imperfectos, Dios nos puede pulir y usar para algo hermoso."
¿Qué significa ser 'ciudadanos del cielo'?,"Que aunque vivimos en la tierra, seguimos las leyes y el amor de Dios."
¿Qué son los 'Mishpatim'?,"Son actos de justicia, como ayudar a los que más lo necesitan."
¿Por qué Dios a veces no quiere nuestras oraciones o regalos?,Cuando nuestro corazón está lleno de mentiras o nos portamos mal con los demás.
¿Cuál es el mejor regalo que le podemos dar a Dios hoy?,Nuestra vida entera y un corazón que quiera obedecerle.
¿Qué significa 'Beshajhanti Betoham'?,Significa 'y habitaré dentro de ellos'.
¿Por qué Dios quería que el santuario fuera muy bonito?,Para enseñarnos que Su presencia es lo más valioso y glorioso que existe.
¿Qué representa el incienso aromático en el santuario?,Representa nuestras oraciones que suben con olor rico hacia Dios.
¿Por qué Moisés tuvo que decir al pueblo que dejaran de traer ofrendas?,Porque la gente dio tanto y con tanto amor que ya no cabían más cosas.
¿Cómo demostramos que amamos a Dios de verdad?,Haciendo las cosas buenas que Él nos pide y amando a nuestro prójimo.
¿Qué es la 'Torá de la libertad'?,Es la guía de Dios que nos enseña a vivir felices y sin ser esclavos del mal.
¿Qué significa que Yeshua nos compró por un precio?,Que ahora le pertenecemos a Él y debemos cuidar nuestro cuerpo y mente.
¿Por qué debemos ser dadores alegres?,Porque Dios ha sido muy bueno con nosotros y nos gusta compartir Su amor.
¿Qué significa que seamos la 'embajada móvil' de Dios?,"Que a donde vayamos, debemos mostrar cómo es el amor y la paz de Dios."
¿Cuál es el fundamento de todo lo que hacemos para Dios?,El amor y un corazón agradecido.