¿Cuántos días se deben contar en total para llegar a la fiesta de Shavuot?,Se deben contar 50 días.
"Según Levítico 23:15, ¿cuántas semanas cumplidas o completas se deben contar?",Se deben contar siete semanas cumplidas.
¿Qué significa el concepto hebreo 'Sheva'?,Significa el número siete.
Término: Shabatot,Es el plural de la palabra Shabbat (días de reposo).
¿Qué significa que un Shabbat sea 'Tamim'?,"Significa que es íntegro, completo o perfecto."
¿A partir de qué día de la semana comienza a contarse un Shabbat íntegro?,Comienza a contarse a partir del primer día de la semana (domingo).
"En el lenguaje agrícola de la Biblia, ¿qué representa el 'grano nuevo' espiritualmente?",Representa nuestra vida espiritual madura y limpia para el Eterno.
¿Cuál es el libro y capítulo del Brit Hadashá que muestra la cadena del crecimiento espiritual?,"Segunda de Pedro, capítulo 1."
"En el diagrama de crecimiento de Pedro, ¿cuál es el fundamento o base de todo?",La base de todo es la fe (Pistis o Emuná).
¿Qué palabra griega usa Pedro para decir 'añadid' o 'invertir con generosidad'?,La palabra es 'Epijoregesate'.
Concepto: Argos,"Significa estar ocioso, inactivo o sin hacer nada útil para Dios."
Concepto: Akarpos,"Significa estar sin fruto, vacío o estéril espiritualmente."
¿Qué le sucede a una persona que no crece y tiene la 'vista corta'?,Se vuelve ciega espiritualmente y olvida que fue limpiada de sus pecados.
"En la cadena de Pedro, ¿qué se debe añadir inmediatamente después de la fe?",Se debe añadir la virtud.
Concepto: Areté,Significa virtud o excelencia moral (hacer lo que es correcto).
¿Qué nivel sigue después de la virtud en el camino a Shavuot?,Sigue el nivel del conocimiento (Gnosis).
¿Qué es el 'conocimiento' o 'Gnosis' según la enseñanza?,Es el discernimiento espiritual para entender la voluntad del Eterno.
Concepto: Enkrateia,Significa dominio propio o tener autocontrol sobre uno mismo.
¿Por qué es necesario el dominio propio para un niño que sigue a Yeshua?,"Para aprender a gobernar sus deseos, impulsos y palabras."
Concepto: Hupomoné,"Significa perseverancia, resistencia o aguantar con firmeza las pruebas."
"En la escalera de crecimiento, ¿qué significa la 'Piedad' (Eusebeia)?",Es vivir una vida orientada a honrar y respetar a Dios en todo.
Concepto: Philadelphia,Significa afecto fraternal o amor y cariño entre hermanos.
¿Cuál es el nivel más alto y final de la cadena de crecimiento espiritual?,El nivel más alto es el amor (Ágape).
¿Qué es el amor 'Ágape'?,Es buscar el bien de los demás siguiendo el carácter de Dios.
"La fe no es solo creer que Dios existe, sino responderle con ____ y fidelidad.",Confianza
¿A qué se parece la 'fe' si nunca crece ni se le añade nada?,Se parece a una semilla que nunca da fruto.
¿Qué significa la palabra hebrea 'Teshuvá'?,Significa arrepentimiento o volver al camino de la obediencia a Dios.
"En la disciplina bíblica, ¿qué representa la 'vara' del pastor?",Representa poner límites con firmeza y amor para guiar al hijo.
¿Cuál es la diferencia entre disciplina y violencia según la enseñanza?,"La disciplina busca formar el carácter, mientras que la violencia nace del enojo."
"Según Hechos 15, ¿cuáles son las primeras cosas que debe dejar alguien que vuelve a Dios?","Debe dejar la idolatría, la inmoralidad y no comer sangre."
"El Rey David oraba en tres momentos del día: Tarde, _____ y Mediodía.",Mañana
¿Por qué es bueno orar en la mañana y en la tarde?,Para sintonizar nuestro corazón con los tiempos de adoración a Dios.
¿Es obligatorio lavar todos los platos justo en el día de Shabbat?,"No es obligatorio, es mejor dedicar ese tiempo especial a Dios."
¿Qué significa 'santificar' el día de reposo?,Significado: Apartarlo de las actividades comunes para que sea un día santo.
"En la Biblia, ¿qué representa el hecho de que una mujer use un velo al orar?",Es una señal de respeto y de que reconoce el orden de autoridad de Dios.
¿Cuál es la única 'sangre' que puede limpiar nuestros pecados de verdad?,La sangre del Mesías Yeshua.
Concepto: Tamé,Significa 'no apto' para una función sagrada en un momento específico.
¿Quiénes serán llamados 'grandes' en el reino de los cielos?,Los que cumplen los mandamientos de Dios y los enseñan a otros.
¿Qué sucede con los que quebrantan los mandamientos pero entran al reino?,Serán llamados 'muy pequeños' en el reino de los cielos.
¿A quiénes representa la 'nación grande' mencionada en Deuteronomio 4?,Representa al pueblo que guarda la Torá con sabiduría e inteligencia.
¿Qué festival celebraremos con alegría cuando terminemos de contar el Omer?,La fiesta de Shavuot.
"La fe es el fundamento, pero el amor es la _____ de nuestra construcción espiritual.",Cima (o punto más alto)
¿Qué significa la palabra hebrea 'Emuná'?,"Significa fe, firmeza y fidelidad."
¿Cómo se llama el proceso de contar 50 días desde Pesaj hasta Shavuot?,Se llama el Conteo del Omer.
Pedro dice que debemos poner toda _____ para añadir virtudes a nuestra fe.,Diligencia
¿Qué animal usa la vara para ser guiado por su pastor?,La oveja.
¿Por qué el apóstol Pedro escribió su segunda carta con tanta urgencia?,Porque sabía que pronto iba a morir y quería dejar sus enseñanzas finales.
"En el pensamiento hebreo, ¿cuál es el primer día de la semana?",El domingo.
"Caminar en la Torá no es para salvarnos, sino porque ya somos _____ por Yeshua.",Salvados (o redimidos)
¿Qué debemos hacer si cometemos un error o pecado contra Dios?,Debemos hacer Teshuvá (arrepentirnos y corregir el camino).
¿Qué significa ser 'oidores y hacedores' de la palabra?,"Significa no solo escuchar las clases, sino obedecer lo que aprendemos."
¿Cuál es el propósito final de estudiar la Torá cada semana?,Conocer mejor a nuestro Creador y vivir como Él quiere.